A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 53, B : 4f, C: 1c, D : 08 ,E: e0, F : be, G : 88 
A : 48, B : 21, C: e6, D : c2 ,E: 28, F : 17, G : b7 
A : d3, B : c5, C: c5, D : b2 ,E: 7e, F : e1, G : b8 
A : 46, B : e7, C: ca, D : ba ,E: 4f, F : 16, G : fd 
A : 45, B : 2e, C: 23, D : ba ,E: 17, F : d8, G : b4 
A : 0e, B : 0d, C: fc, D : da ,E: de, F : ab, G : 97 
A : 2b, B : f2, C: b6, D : 8e ,E: 65, F : 1a, G : a3 
A : 2e, B : 29, C: 28, D : ae ,E: 6c, F : 6b, G : 11 
A : 6f, B : 6a, C: 64, D : 56 ,E: ec, F : e3, G : 90 
A : 1a, B : 13, C: f7, D : e2 ,E: 6a, F : 45, G : 9b 
A : 18, B : e9, C: b7, D : aa ,E: 3a, F : 37, G : 31 
A : ea, B : e5, C: ab, D : a2 ,E: 17, F : ce, G : b9 
A : 3d, B : 17, C: 0f, D : e8 ,E: 0d, F : 02, G : df 
A : f0, B : d9, C: bd, D : a4 ,E: 46, F : 14, G : 09 
A : 40, B : 29, C: 1c, D : b8 ,E: 2e, F : 22, G : 99 
A : 34, B : 25, C: af, D : a6 ,E: 36, F : 2a, G : 84 
A : 56, B : 4f, C: 1c, D : 08 ,E: 2a, F : e0, G : be 
A : 48, B : 30, C: 30, D : 20 ,E: 28, F : 16, G : b7 
A : c5, B : c5, C: c1, D : b2 ,E: 7e, F : 6b, G : b8 
A : e7, B : ca, C: a7, D : 96 ,E: 4f, F : 29, G : 16 
A : 45, B : 23, C: 04, D : ba ,E: d8, F : c6, G : b4 
A : 0e, B : 0d, C: db, D : 90 ,E: ab, F : a0, G : 97 
A : 6a, B : 42, C: b6, D : 8e ,E: 4b, F : 1a, G : a3 
A : 54, B : 29, C: 0e, D : ae ,E: 6c, F : 1f, G : 11 
A : 6f, B : 6a, C: 69, D : 1a ,E: ec, F : aa, G : 90 
A : 2b, B : 1a, C: 13, D : f6 ,E: 6a, F : 45, G : 8d 
A : 28, B : 18, C: 0e, D : e8 ,E: 5a, F : 51, G : 39 
A : ea, B : e2, C: ab, D : aa ,E: 17, F : cf, G : b9 
A : 45, B : 3d, C: 17, D : 0e ,E: 58, F : 0d, G : 02 
A : fd, B : fc, C: f0, D : d8 ,E: 14, F : 09, G : eb 
A : 1c, B : f7, C: c9, D : b4 ,E: 2e, F : f8, G : 99 
A : 34, B : 25, C: 18, D : d8 ,E: 66, F : 2a, G : 84 
A : 56, B : 34, C: 1c, D : 04 ,E: 52, F : 2a, G : be 
A : 48, B : 35, C: 30, D : 30 ,E: 28, F : 16, G : d1 
A : 51, B : 3f, C: c5, D : c0 ,E: 6b, F : 67, G : 18 
A : 59, B : 13, C: e7, D : a6 ,E: 4f, F : 29, G : cd 
A : 04, B : d3, C: bb, D : 98 ,E: fb, F : d8, G : c6 
A : 78, B : 0d, C: cf, D : 90 ,E: d7, F : a0, G : 97 
A : 42, B : 19, C: b9, D : b6 ,E: 4b, F : cd, G : a3 
A : 29, B : 23, C: 0e, D : c8 ,E: 6c, F : 1f, G : f2 
A : 69, B : 1b, C: d1, D : b4 ,E: ec, F : aa, G : 8f 
A : 39, B : 37, C: 2b, D : 1a ,E: 6a, F : c4, G : 8d 
A : 2c, B : 18, C: 0e, D : 02 ,E: 5a, F : d2, G : 99 
A : e9, B : e2, C: ab, D : aa ,E: 17, F : e9, G : cf 
A : 45, B : 3d, C: 33, D : 0c ,E: 58, F : 4d, G : 0d 
A : 21, B : fd, C: d9, D : ae ,E: 09, F : eb, G : 9b 
A : 2d, B : f7, C: b4, D : 9e ,E: 2e, F : f8, G : 94 
A : 25, B : 18, C: 13, D : d8 ,E: 66, F : bf, G : 84 
A : 3c, B : 34, C: 10, D : 04 ,E: 52, F : 2a, G : c0 
A : 35, B : 30, C: 30, D : 20 ,E: 1a, F : 16, G : d1 
A : 51, B : 3f, C: 2b, D : 1c ,E: 6b, F : 67, G : 07 
A : 2a, B : 13, C: 07, D : a6 ,E: 54, F : 29, G : cd 
A : 04, B : d3, C: b3, D : 98 ,E: 3b, F : fb, G : c6 
A : 78, B : 6d, C: d4, D : ce ,E: ec, F : d7, G : a0 
A : 6a, B : 42, C: 2c, D : 18 ,E: 55, F : 4b, G : cd 
A : 67, B : 23, C: 0e, D : c8 ,E: 45, F : 1f, G : f2 
A : 65, B : 38, C: d1, D : b4 ,E: cd, F : aa, G : 8f 
A : 5f, B : 39, C: 37, D : e4 ,E: 7c, F : c4, G : 8d 
A : 2c, B : 22, C: 1b, D : 0e ,E: da, F : d2, G : 99 
A : ea, B : e9, C: e2, D : b2 ,E: e9, F : cf, G : b5 
A : 45, B : 33, C: 0c, D : d6 ,E: 58, F : 4d, G : ed 
A : 21, B : fd, C: c2, D : ae ,E: 22, F : eb, G : 9b 
A : 2d, B : b7, C: b2, D : 9e ,E: 45, F : f8, G : 94 
A : 13, B : d8, C: bc, D : b8 ,E: 66, F : f4, G : bf 
A : 34, B : 10, C: 10, D : 04 ,E: 52, F : 11, G : c0 
A : 35, B : 21, C: f1, D : b0 ,E: 1a, F : d1, G : 94 
A : 65, B : 51, C: 4b, D : 22 ,E: 07, F : 8e, G : 87 
A : 5f, B : 2a, C: 13, D : 06 ,E: 54, F : dd, G : cd 
A : d3, B : d2, C: b7, D : b2 ,E: 3b, F : 1c, G : fb 
A : 6d, B : 2f, C: d4, D : ce ,E: ec, F : d7, G : c4 
A : 2c, B : 19, C: df, D : d2 ,E: 55, F : cd, G : c3 
A : 36, B : 23, C: c9, D : 96 ,E: 47, F : 45, G : f2 
A : 38, B : 2d, C: 26, D : b4 ,E: 76, F : cd, G : 8f 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 15, F : 0d, G : 03 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 38, B : b4, C: b3, D : 9a ,E: 45, F : ed, G : a3 
A : 37, B : 29, C: 27, D : 12 ,E: 00, F : 00, G : 00 
A : 66, B : 4c, C: 39, D : ce ,E: 59, F : 1c, G : 1a 
A : f6, B : e6, C: df, D : cc ,E: 23, F : d1, G : 8d 
A : 46, B : 35, C: 0c, D : bc ,E: db, F : cf, G : 9e 
A : 36, B : 22, C: 20, D : e8 ,E: 44, F : 3a, G : c8 
A : 29, B : 02, C: d4, D : c8 ,E: f6, F : dc, G : c9 
A : 53, B : 45, C: 09, D : e0 ,E: 08, F : f3, G : 9c 
A : 17, B : ec, C: e6, D : b8 ,E: 4b, F : a7, G : a2 
A : f7, B : e1, C: d3, D : c4 ,E: 32, F : 2d, G : b5 
A : fd, B : ec, C: d7, D : ca ,E: e4, F : b7, G : 9c 
A : 23, B : 17, C: ba, D : b4 ,E: 17, F : 0e, G : 83 
A : 48, B : fc, C: de, D : da ,E: 7b, F : ca, G : b1 
A : 65, B : 1a, C: 11, D : f2 ,E: 2a, F : 19, G : 9f 
A : 54, B : 2e, C: 1c, D : 16 ,E: 53, F : 24, G : f2 
A : 64, B : e3, C: a8, D : a2 ,E: 20, F : e1, G : 96 
A : 45, B : 13, C: b3, D : 9a ,E: ed, F : e4, G : a3 
A : 31, B : 29, C: 27, D : e8 ,E: 00, F : 00, G : 00 
A : 4c, B : ea, C: ce, D : b8 ,E: 59, F : 1c, G : f7 
A : 02, B : f6, C: e6, D : de ,E: 23, F : fc, G : 8d 
A : 46, B : 35, C: 14, D : f0 ,E: db, F : aa, G : 9e 
A : 36, B : 22, C: 20, D : c8 ,E: 3a, F : d0, G : c8 
A : 2a, B : 02, C: c9, D : ae ,E: f6, F : dc, G : cf 
A : 1c, B : 09, C: e0, D : be ,E: 05, F : f3, G : 9c 
A : 28, B : 21, C: 17, D : e6 ,E: 21, F : a7, G : a2 
A : e1, B : d3, C: c5, D : c4 ,E: 32, F : b5, G : ad 
A : 4f, B : 16, C: fd, D : ca ,E: e4, F : b2, G : 9c 
A : 2e, B : 23, C: 17, D : d8 ,E: 17, F : 0e, G : f7 
A : de, B : db, C: ab, D : 96 ,E: 38, F : ca, G : b1 
A : 65, B : 1a, C: f2, D : b6 ,E: 2a, F : 19, G : ec 
A : 6b, B : 54, C: 2e, D : 28 ,E: 53, F : 24, G : e2 
A : 64, B : 1b, C: ec, D : e2 ,E: 20, F : e1, G : c7 
A : 45, B : 1a, C: 13, D : b2 ,E: 60, F : ed, G : e4 
A : 37, B : 31, C: 18, D : e8 ,E: 00, F : 00, G : 00 
A : ea, B : ce, C: b9, D : a2 ,E: 59, F : 43, G : f7 
A : 0f, B : 0d, C: 02, D : e6 ,E: 2e, F : fc, G : 8d 
A : 14, B : 09, C: f0, D : d8 ,E: 52, F : aa, G : 9e 
A : 2e, B : 22, C: 20, D : c8 ,E: 6b, F : 3a, G : d0 
A : 36, B : 2a, C: af, D : a6 ,E: f5, F : dc, G : cf 
A : 1c, B : 09, C: e0, D : be ,E: 6f, F : 05, G : 9c 
A : 30, B : 28, C: 21, D : 16 ,E: 28, F : 21, G : a2 
A : 6b, B : 3f, C: c5, D : c4 ,E: f0, F : b5, G : ad 
A : 4f, B : 29, C: 16, D : ca ,E: e4, F : e3, G : b2 
A : 23, B : 04, C: d8, D : c6 ,E: 18, F : 0e, G : f7 
A : ab, B : a0, C: 97, D : 90 ,E: 38, F : 05, G : ca 
A : 6a, B : 4b, C: 1a, D : b6 ,E: 2a, F : ec, G : ce 
A : 54, B : 29, C: 1f, D : 10 ,E: 24, F : 0d, G : e2 
A : 1b, B : ec, C: d1, D : aa ,E: e1, F : c7, G : a7 
A : 45, B : 37, C: 1a, D : 12 ,E: 60, F : 51, G : e4 
A : 51, B : 39, C: 2c, D : 18 ,E: 58, F : 3e, G : ce 
A : ea, B : e2, C: cf, D : b8 ,E: 43, F : f7, G : df 
A : 3d, B : 0f, C: 0d, D : 02 ,E: 2e, F : fc, G : f6 
A : 09, B : fd, C: f0, D : ea ,E: 52, F : e6, G : aa 
A : 2e, B : f8, C: f7, D : c8 ,E: 6b, F : 61, G : 30 
A : 66, B : 2a, C: 18, D : ae ,E: 43, F : f5, G : cf 
A : 34, B : 2a, C: 1c, D : be ,E: 6f, F : 4b, G : 05 
A : 30, B : 28, C: 21, D : 16 ,E: 28, F : 21, G : d6 
A : 67, B : 51, C: 3f, D : 18 ,E: 16, F : f0, G : ad 
A : 59, B : 4f, C: 29, D : cc ,E: 53, F : e3, G : b2 
A : 04, B : fb, C: d8, D : c6 ,E: 57, F : 18, G : f7 
A : d7, B : a0, C: 97, D : 90 ,E: 38, F : 05, G : 95 
A : 4b, B : 19, C: cd, D : b6 ,E: 00, F : 00, G : 00 
A : 29, B : 1f, C: 0e, D : f2 ,E: 0d, F : e2, G : c6 
A : ec, B : d1, C: b4, D : aa ,E: c7, F : b9, G : a7 
A : 39, B : 37, C: 1a, D : c4 ,E: 60, F : 51, G : df 
A : 2c, B : 18, C: 02, D : d2 ,E: 3e, F : ce, G : b9 
A : e9, B : e9, C: e2, D : ce ,E: 43, F : e2, G : df 
A : 4d, B : 3d, C: 33, D : 0c ,E: 2e, F : 22, G : f6 
A : fd, B : eb, C: d9, D : ae ,E: 52, F : e6, G : d0 
A : 2e, B : f8, C: f7, D : 9a ,E: 6d, F : 6b, G : 21 
A : 66, B : 18, C: bf, D : bc ,E: 43, F : f5, G : ba 
A : 3c, B : 34, C: 2a, D : c0 ,E: 6f, F : 4b, G : ff 
A : 30, B : 21, C: 1a, D : 16 ,E: 28, F : d6, G : 96 
A : 67, B : 51, C: 3f, D : 2a ,E: 4c, F : 16, G : f0 
A : 54, B : 29, C: 07, D : cc ,E: 53, F : e3, G : d6 
A : 23, B : 04, C: fb, D : c6 ,E: 57, F : 18, G : b9 
A : ec, B : d7, C: d4, D : a0 ,E: 05, F : 9e, G : 95 
A : 6a, B : 55, C: 4b, D : 18 ,E: 00, F : 00, G : 00 
A : 45, B : 1f, C: 0e, D : f2 ,E: 0d, F : c6, G : 94 
A : d1, B : cd, C: b4, D : aa ,E: b9, F : a7, G : a4 
A : 6f, B : 39, C: 37, D : c4 ,E: 51, F : df, G : ad 
A : 02, B : fb, C: da, D : d2 ,E: ce, F : b9, G : b3 
A : e9, B : e9, C: e2, D : ce ,E: e2, F : df, G : ba 
A : 4d, B : 33, C: ed, D : d6 ,E: 71, F : 22, G : f6 
A : fd, B : eb, C: af, D : a2 ,E: e6, F : d0, G : 96 
A : f8, B : f7, C: b2, D : 9a ,E: 2d, F : 21, G : 17 
A : 18, B : f4, C: bf, D : bc ,E: 43, F : fe, G : ba 
A : 3c, B : 34, C: 11, D : 10 ,E: 4b, F : ff, G : b4 
A : 21, B : 1a, C: d1, D : 94 ,E: fe, F : d6, G : 96 
A : 2b, B : 07, C: e2, D : 8e ,E: 4c, F : 16, G : 84 
A : 54, B : 07, C: dd, D : d6 ,E: 53, F : d6, G : af 
A : 23, B : 1c, C: fb, D : d2 ,E: 77, F : 57, G : b9 
A : 2f, B : ec, C: d7, D : d4 ,E: c5, F : 9e, G : 95 
A : 55, B : 19, C: df, D : cc ,E: 17, F : ea, G : b8 
A : 47, B : 45, C: f2, D : c8 ,E: c6, F : c5, G : 94 
A : 38, B : 2d, C: cd, D : b4 ,E: 77, F : b9, G : a4 
A : 0f, B : 0c, C: 07, D : 04 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 38, B : ed, C: a3, D : 9a ,E: 54, F : 3e, G : fa 
A : 37, B : 29, C: 00, D : 00 ,E: 7f, F : 75, G : 61 
A : 66, B : 59, C: 1c, D : 1a ,E: 5e, F : 25, G : cd 
A : 23, B : f6, C: df, D : d0 ,E: 54, F : 18, G : 05 
A : 0f, B : 0c, C: 07, D : 04 ,E: 1e, F : 14, G : 0f 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 16, F : 16, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 46, B : 0c, C: db, D : ce ,E: 7e, F : 74, G : 2f 
A : 3a, B : 36, C: 22, D : e8 ,E: 44, F : c7, G : c2 
A : 29, B : 02, C: f6, D : dc ,E: 56, F : b6, G : 80 
A : 08, B : f3, C: e0, D : 9c ,E: 3b, F : be, G : 90 
A : 0f, B : 0c, C: 07, D : 04 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 17, B : b9, C: b7, D : a6 ,E: 32, F : d1, G : 95 
A : 32, B : 2d, C: f7, D : e0 ,E: 7b, F : e6, G : 98 
A : fd, B : e4, C: d7, D : b6 ,E: 6c, F : 66, G : 2f 
A : 17, B : 0e, C: b5, D : b4 ,E: 40, F : 1a, G : d6 
A : 0f, B : 0c, C: 07, D : 04 ,E: 1a, F : 19, G : 05 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 19, F : 17, G : 17 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 48, B : de, C: ca, D : b0 ,E: 7a, F : 59, G : e5 
A : 2a, B : 1a, C: 19, D : c2 ,E: aa, F : a2, G : 9d 
A : 53, B : 24, C: 1c, D : 10 ,E: 79, F : f7, G : d7 
A : e3, B : e1, C: a8, D : 96 ,E: 5f, F : 07, G : 9b 
A : 0f, B : 0c, C: 07, D : 04 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 1f, F : 1f, G : 01 
A : 00, B : 00, C: 00, D : 00 ,E: 1e, F : 0a, G : 05 
A : 00, B : 00, C: 00, D : 00 ,E: 1f, F : 14, G : 05 
A : ed, B : e4, C: a3, D : 9a ,E: 71, F : 54, G : fa 
A : 31, B : 29, C: 00, D : 00 ,E: 7f, F : 7f, G : 61 
A : 59, B : 1c, C: f7, D : ce ,E: 5e, F : 4a, G : 25 
A : 02, B : fc, C: f6, D : de ,E: 5f, F : 54, G : 05 
A : 46, B : 14, C: db, D : aa ,E: 7e, F : 6a, G : 2f 
A : 36, B : 22, C: d0, D : c8 ,E: 44, F : 44, G : 27 
A : 2a, B : 02, C: f6, D : dc ,E: 56, F : b6, G : 85 
A : f3, B : e0, C: be, D : 9c ,E: 3b, F : 1b, G : be 
A : 21, B : 17, C: b7, D : a6 ,E: d1, F : 95, G : 8d 
A : 32, B : e1, C: b8, D : b4 ,E: 7b, F : 79, G : 46 
A : 16, B : fd, C: e4, D : b2 ,E: 6c, F : 2f, G : cd 
A : 17, B : 0e, C: f7, D : d8 ,E: 24, F : 1a, G : d6 
A : de, B : ca, C: b1, D : aa ,E: 75, F : 59, G : e5 
A : 2a, B : 1a, C: 19, D : ec ,E: bd, F : a2, G : 9d 
A : 6b, B : 53, C: 24, D : 10 ,E: 79, F : 1e, G : d7 
A : ec, B : e3, C: e1, D : c6 ,E: 5f, F : 07, G : ff 
A : 60, B : 45, C: ed, D : e4 ,E: 71, F : 54, G : 16 
A : 37, B : 31, C: 00, D : 00 ,E: 7f, F : 7f, G : 61 
A : 43, B : 17, C: f7, D : ce ,E: 5e, F : 4a, G : 3c 
A : 0d, B : 02, C: fc, D : de ,E: 5f, F : 58, G : 54 
A : 46, B : 14, C: 09, D : aa ,E: 7e, F : 6a, G : 15 
A : 3a, B : 2e, C: 22, D : d0 ,E: 44, F : 44, G : 2a 
A : 2a, B : f5, C: dc, D : ce ,E: 2e, F : b6, G : 85 
A : 2a, B : 05, C: e0, D : be ,E: 3b, F : 1f, G : 1b 
A : 0f, B : 0c, C: 07, D : 04 ,E: 16, F : 11, G : 0d 
A : 00, B : 00, C: 00, D : 00 ,E: 1f, F : 19, G : 06 
A : 00, B : 00, C: 00, D : 00 ,E: 1d, F : 0f, G : 0d 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 28, B : 21, C: 16, D : b6 ,E: 76, F : d1, G : 8d 
A : 6b, B : f0, C: b8, D : b4 ,E: 5f, F : 59, G : 46 
A : 29, B : 16, C: e4, D : e2 ,E: 5d, F : 2f, G : cd 
A : 0e, B : f7, C: d8, D : c6 ,E: 7b, F : 24, G : 1a 
A : 0f, B : 0c, C: 07, D : 04 ,E: 15, F : 0a, G : 05 
A : 00, B : 00, C: 00, D : 00 ,E: 1d, F : 0d, G : 02 
A : 00, B : 00, C: 00, D : 00 ,E: 1e, F : 17, G : 0f 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 05, B : ca, C: ab, D : a0 ,E: 75, F : 2a, G : e5 
A : 2a, B : 1a, C: ec, D : ce ,E: dd, F : cd, G : a2 
A : 24, B : 1f, C: 11, D : 0c ,E: 1e, F : d7, G : af 
A : e1, B : c7, C: aa, D : a6 ,E: 1c, F : 07, G : ff 
A : 0f, B : 0c, C: 07, D : 04 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 1f, F : 18, G : 0b 
A : 60, B : 51, C: 45, D : e4 ,E: 71, F : 16, G : f8 
A : 58, B : 3e, C: 31, D : ce ,E: 7f, F : 61, G : 54 
A : 17, B : f7, C: df, D : ce ,E: 4a, F : 3c, G : c0 
A : 2e, B : 0d, C: 02, D : fc ,E: 5f, F : 58, G : 4b 
A : 14, B : 09, C: eb, D : e6 ,E: 6a, F : 15, G : 12 
A : 61, B : 30, C: 2e, D : f8 ,E: 24, F : ca, G : bf 
A : 43, B : 2a, C: f5, D : ce ,E: 2e, F : 90, G : 85 
A : 52, B : 4b, C: 2a, D : 04 ,E: 61, F : 1f, G : 1b 
A : 0f, B : 0c, C: 07, D : 04 ,E: 16, F : 0e, G : 0d 
A : 00, B : 00, C: 00, D : 00 ,E: 1f, F : 19, G : 05 
A : 00, B : 00, C: 00, D : 00 ,E: 1d, F : 1b, G : 0d 
A : 00, B : 00, C: 00, D : 00 ,E: 1b, F : 0f, G : 04 
A : 28, B : 21, C: 16, D : d6 ,E: 76, F : 2e, G : 8d 
A : 16, B : 07, C: f0, D : b8 ,E: 5f, F : 59, G : 25 
A : 4f, B : 29, C: e3, D : cc ,E: 5d, F : 5b, G : cd 
A : 18, B : fb, C: f7, D : d8 ,E: 7b, F : 6f, G : 24 
A : 0f, B : 0c, C: 07, D : 04 ,E: 15, F : 0c, G : 0a 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 05, B : d7, C: a0, D : 96 ,E: 75, F : 6c, G : 2a 
A : 00, B : 00, C: 00, D : cc ,E: 6d, F : fd, G : cd 
A : 1f, B : 0d, C: f2, D : e2 ,E: 1e, F : e5, G : af 
A : c7, B : b9, C: aa, D : a6 ,E: 34, F : 1c, G : ff 
A : 0f, B : 0c, C: 07, D : 04 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 1c, F : 10, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 18, F : 0b, G : 02 
A : 60, B : 51, C: df, D : c4 ,E: 16, F : f8, G : c1 
A : 3e, B : d2, C: ce, D : b8 ,E: 61, F : 54, G : a5 
A : 17, B : e9, C: e2, D : de ,E: 3c, F : 30, G : c0 
A : 4d, B : 2e, C: 22, D : 0c ,E: 58, F : 4b, G : 02 
A : 09, B : eb, C: e6, D : d0 ,E: 68, F : 15, G : 12 
A : 6b, B : 2e, C: 21, D : f8 ,E: 00, F : 00, G : 00 
A : 43, B : f5, C: bf, D : ba ,E: 74, F : 2e, G : 90 
A : 52, B : 4b, C: 2a, D : fe ,E: 61, F : 1f, G : 97 
A : 1a, B : 16, C: d6, D : d0 ,E: 76, F : 2e, G : bf 
A : 4c, B : 16, C: 07, D : f0 ,E: 5f, F : 45, G : 29 
A : 53, B : 29, C: e3, D : d6 ,E: 5d, F : 5b, G : 0f 
A : 3b, B : 18, C: fb, D : c6 ,E: 7b, F : 6f, G : fc 
A : ec, B : d7, C: a0, D : 9e ,E: 6c, F : 2a, G : bb 
A : 4b, B : 00, C: 00, D : 00 ,E: 6d, F : cd, G : c6 
A : 1f, B : 0d, C: f2, D : c6 ,E: e5, F : af, G : 93 
A : b9, B : aa, C: a7, D : a4 ,E: 63, F : 34, G : 1c 
A : 0f, B : 0c, C: 07, D : 04 ,E: 18, F : 0c, G : 01 
A : 00, B : 00, C: 00, D : 00 ,E: 14, F : 14, G : 05 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 51, B : df, C: c4, D : ac ,E: f8, F : cc, G : c1 
A : d2, B : ce, C: b9, D : b2 ,E: 54, F : f4, G : a5 
A : e2, B : df, C: cf, D : ba ,E: 30, F : c0, G : bc 
A : 58, B : 4d, C: 22, D : f6 ,E: 4b, F : 02, G : 90 
A : 0f, B : 0c, C: 07, D : 04 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : eb, B : e6, C: d0, D : 9a ,E: 68, F : 28, G : 12 
A : 2d, B : 21, C: 17, D : f8 ,E: 79, F : bf, G : 83 
A : 43, B : fe, C: f4, D : be ,E: 74, F : 6b, G : 90 
A : 4b, B : 11, C: ff, D : c0 ,E: 61, F : f5, G : 97 
A : fe, B : d6, C: d1, D : 96 ,E: 2e, F : 03, G : bf 
A : 16, B : 07, C: 8e, D : 86 ,E: 25, F : 20, G : e9 
A : 53, B : dd, C: d6, D : cc ,E: 5b, F : 0f, G : ef 
A : 57, B : 3b, C: 1c, D : fa ,E: 6f, F : fc, G : bd 
A : d7, B : c5, C: c4, D : 9e ,E: 6c, F : 33, G : bb 
A : 17, B : ea, C: cd, D : c2 ,E: 6d, F : c6, G : b1 
A : 45, B : f2, C: c6, D : c4 ,E: e5, F : 9a, G : 93 
A : 76, B : cd, C: b9, D : a4 ,E: 63, F : 34, G : a4 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 0f, B : 0c, C: 07, D : 04 ,E: 1e, F : 0f, G : 07 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 0f, B : 0c, C: 07, D : 04 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 17, F : 12, G : 08 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 0f, B : 0c, C: 07, D : 04 ,E: 1e, F : 15, G : 07 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 0f, B : 0c, C: 07, D : 04 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 0f, B : 0c, C: 07, D : 04 ,E: 15, F : 14, G : 0f 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 0f, B : 0c, C: 07, D : 04 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 13, F : 0a, G : 08 
A : 00, B : 00, C: 00, D : 00 ,E: 09, F : 08, G : 07 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 
A : 2b, B : 26, C: 23, D : 16 ,E: 14, F : 13, G : 03 
A : 17, B : eb, C: cf, D : a8 ,E: 95, F : 8f, G : 83 
A : 4a, B : 06, C: f6, D : e8 ,E: 4d, F : 17, G : ab 
A : 38, B : 2b, C: db, D : d6 ,E: 25, F : f7, G : ca 
A : 66, B : 4e, C: fd, D : 8e ,E: 40, F : 07, G : bb 
