A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 , codes_A :   0 
A : 54, B : 3b, C: fb, D : c8 ,E: 69, F : c3, G : bb , codes_A :  95 
A : 0e, B : e9, C: cf, D : a8 ,E: 62, F : c5, G : bb , codes_A :  95 
A : 4e, B : 47, C: 1c, D : b2 ,E: 66, F : 0b, G : a2 , codes_A :  23 
A : 17, B : 01, C: f9, D : c8 ,E: 67, F : 51, G : b8 , codes_A :  72 
A : 52, B : 41, C: 32, D : 12 ,E: 07, F : d7, G : 94 , codes_A :  28 
A : 22, B : 16, C: 09, D : ca ,E: 31, F : 21, G : c7 , codes_A :  41 
A : 36, B : e8, C: c4, D : c2 ,E: ec, F : cb, G : ba , codes_A : 114 
A : 41, B : 13, C: 02, D : ec ,E: 68, F : 65, G : 3d , codes_A :  50 
A : 3c, B : 2f, C: f8, D : e4 ,E: 1e, F : ee, G : df , codes_A :  34 
A : 17, B : 02, C: d2, D : ac ,E: 17, F : aa, G : 97 , codes_A :  27 
A : fe, B : f8, C: c9, D : c4 ,E: 7d, F : b8, G : b0 , codes_A :  94 
A : d4, B : cc, C: cb, D : a0 ,E: 71, F : 6a, G : 32 , codes_A :  50 
A : 48, B : 3b, C: 0b, D : 0a ,E: 64, F : 53, G : ff , codes_A :  74 
A : 0f, B : ed, C: 9f, D : 94 ,E: 56, F : 2c, G : b9 , codes_A :  46 
A : 1e, B : bf, C: b3, D : 9e ,E: 68, F : 13, G : 0a , codes_A :   3 
A : 64, B : 62, C: 3e, D : 0e ,E: 4a, F : 0e, G : d9 , codes_A :  19 
A : 54, B : 3b, C: 08, D : dc ,E: 69, F : 5c, G : bb , codes_A :  72 
A : 61, B : 5f, C: 0e, D : a8 ,E: 62, F : ee, G : c5 , codes_A :  98 
A : 5a, B : 47, C: 35, D : 1c ,E: 66, F : 09, G : a2 , codes_A :  23 
A : 5d, B : 17, C: 01, D : e2 ,E: 67, F : 51, G : ec , codes_A :  74 
A : 52, B : 51, C: 32, D : 12 ,E: 07, F : bd, G : 94 , codes_A :  27 
A : 37, B : 2d, C: 22, D : 16 ,E: 31, F : 21, G : a8 , codes_A :  40 
A : 36, B : e8, C: c3, D : aa ,E: 37, F : cb, G : ba , codes_A :  59 
A : 47, B : 41, C: 13, D : b4 ,E: 68, F : a4, G : 9d , codes_A :  91 
A : 0b, B : 06, C: f8, D : e4 ,E: 1e, F : 1c, G : ee , codes_A :   7 
A : 4c, B : d2, C: d2, D : ac ,E: 04, F : aa, G : 97 , codes_A :  27 
A : 20, B : fe, C: c5, D : c2 ,E: 7d, F : 4a, G : b8 , codes_A :  72 
A : 21, B : 1b, C: d4, D : cc ,E: 71, F : 1e, G : 92 , codes_A :  22 
A : 0b, B : 0a, C: d7, D : c6 ,E: 64, F : 53, G : 92 , codes_A :  71 
A : 3e, B : 0f, C: ff, D : ec ,E: 2c, F : da, G : b9 , codes_A :  59 
A : 1e, B : 9e, C: 9d, D : 9c ,E: 7b, F : 13, G : 0a , codes_A :   3 
A : 22, B : de, C: be, D : b2 ,E: 4a, F : f4, G : d9 , codes_A :  83 
A : 65, B : 3b, C: 08, D : dc ,E: 69, F : 5c, G : 19 , codes_A :  16 
A : 61, B : 5f, C: 3b, D : 0e ,E: 64, F : ee, G : c5 , codes_A :  98 
A : 51, B : 35, C: 1c, D : e8 ,E: 66, F : 43, G : 09 , codes_A :  16 
A : 4f, B : 01, C: e5, D : e2 ,E: 51, F : f7, G : ec , codes_A :  84 
A : 51, B : 42, C: 13, D : f6 ,E: fe, F : bd, G : 94 , codes_A : 106 
A : 37, B : 16, C: 06, D : ca ,E: 55, F : 31, G : a8 , codes_A :  46 
A : d0, B : c3, C: aa, D : a6 ,E: 5f, F : 37, G : cb , codes_A :  47 
A : 47, B : 41, C: 13, D : ac ,E: 68, F : 4f, G : a4 , codes_A :  72 
A : 15, B : 0b, C: 06, D : e4 ,E: 1c, F : ee, G : 9a , codes_A :  29 
A : d6, B : d2, C: ac, D : 98 ,E: 58, F : 04, G : aa , codes_A :  18 
A : 38, B : c5, C: c2, D : ac ,E: 4a, F : 15, G : b8 , codes_A :  18 
A : 28, B : 22, C: 21, D : 1a ,E: 7d, F : 1e, G : 92 , codes_A :  22 
A : 52, B : d7, C: c6, D : b0 ,E: 64, F : 98, G : 92 , codes_A :  90 
A : ff, B : ed, C: ab, D : 94 ,E: 2c, F : e6, G : da , codes_A :  62 
A : c7, B : 9e, C: 9d, D : 9c ,E: 7b, F : 0a, G : e7 , codes_A :  25 
A : df, B : de, C: be, D : b2 ,E: 6d, F : 6a, G : 54 , codes_A :  74 
A : 3e, B : 08, C: dc, D : c2 ,E: 5c, F : 19, G : b0 , codes_A :  18 
A : 6d, B : 61, C: 3b, D : 30 ,E: 64, F : 35, G : ee , codes_A :  53 
A : 51, B : 35, C: 15, D : e8 ,E: 43, F : 35, G : 09 , codes_A :   9 
A : 4f, B : 4f, C: 43, D : e4 ,E: 76, F : f7, G : ec , codes_A :  99 
A : 51, B : 42, C: 1d, D : c0 ,E: fe, F : bd, G : ba , codes_A : 112 
A : 37, B : 06, C: e6, D : c6 ,E: 68, F : 55, G : a8 , codes_A :  72 
A : fb, B : d0, C: c3, D : aa ,E: 5f, F : 37, G : aa , codes_A :  46 
A : 4a, B : 47, C: 16, D : ac ,E: 4f, F : e2, G : a4 , codes_A :  81 
A : 15, B : 13, C: 12, D : 0a ,E: 1c, F : ef, G : 9a , codes_A :  29 
A : 38, B : d6, C: d5, D : d2 ,E: 58, F : 04, G : cc , codes_A :  19 
A : 38, B : ad, C: ac, D : a2 ,E: 4a, F : 15, G : f6 , codes_A :  20 
A : 28, B : 22, C: 1b, D : 0e ,E: 7d, F : 1e, G : a9 , codes_A :  23 
A : 52, B : df, C: d7, D : b0 ,E: 48, F : 98, G : 92 , codes_A :  75 
A : 78, B : ff, C: f4, D : aa ,E: 07, F : e6, G : da , codes_A :  34 
A : c9, B : c7, C: c2, D : 9c ,E: 7b, F : 50, G : e7 , codes_A :  74 
A : 40, B : 32, C: df, D : c4 ,E: 7f, F : 6d, G : f4 , codes_A :  89 
A : 65, B : 3e, C: ce, D : c2 ,E: 19, F : b3, G : b0 , codes_A :  30 
A : 3b, B : 3b, C: 31, D : 20 ,E: 64, F : 35, G : 91 , codes_A :  50 
A : 51, B : 43, C: 15, D : e8 ,E: 71, F : 43, G : 35 , codes_A :  44 
A : 4f, B : e7, C: e5, D : b6 ,E: 76, F : 72, G : 37 , codes_A :  53 
A : 1d, B : c0, C: bd, D : 86 ,E: fe, F : f4, G : ba , codes_A : 115 
A : 2a, B : 06, C: e6, D : c6 ,E: 68, F : 55, G : 51 , codes_A :  65 
A : 1c, B : 12, C: fb, D : d0 ,E: 5f, F : ce, G : aa , codes_A :  80 
A : 4a, B : 46, C: 16, D : b4 ,E: 4f, F : 12, G : e2 , codes_A :  20 
A : 15, B : 15, C: 13, D : 12 ,E: ef, F : c8, G : 9a , codes_A : 108 
A : d6, B : d5, C: be, D : 92 ,E: 58, F : cc, G : bb , codes_A :  80 
A : cf, B : ad, C: ac, D : 9c ,E: 15, F : f6, G : 86 , codes_A :  29 
A : 3b, B : 22, C: 0e, D : f2 ,E: 7d, F : e2, G : a9 , codes_A :  96 
A : 58, B : 52, C: 17, D : de ,E: 55, F : 48, G : 98 , codes_A :  66 
A : 30, B : f4, C: ab, D : a2 ,E: 07, F : e6, G : c6 , codes_A :  34 
A : e2, B : c9, C: c7, D : c2 ,E: 50, F : e7, G : 98 , codes_A :  78 
A : 40, B : 35, C: 30, D : de ,E: 7f, F : 6d, G : b3 , codes_A :  87 
A : 3e, B : f7, C: ce, D : c2 ,E: f1, F : b3, G : b0 , codes_A : 112 
A : 3b, B : 31, C: 21, D : f2 ,E: 6c, F : 35, G : 91 , codes_A :  50 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 , codes_A :  78 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 , codes_A :  87 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 , codes_A : 112 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 , codes_A :  50 
A : 41, B : 31, C: 0d, D : b4 ,E: 67, F : 21, G : 19 , codes_A :  10 
A : 07, B : 00, C: 00, D : 00 ,E: 7d, F : 73, G : 61 , codes_A :  89 
A : 0f, B : 9d, C: 94, D : 84 ,E: 7c, F : 6b, G : 4d , codes_A :  70 
A : df, B : df, C: ce, D : a2 ,E: df, F : d9, G : ac , codes_A : 113 
A : 5e, B : 52, C: 13, D : c4 ,E: b7, F : a5, G : 86 , codes_A : 104 
A : 62, B : 55, C: 4b, D : bc ,E: 46, F : 33, G : 87 , codes_A :  45 
A : 4f, B : 49, C: b6, D : 9e ,E: 7a, F : 76, G : 9e , codes_A :  86 
A : 61, B : f7, C: d2, D : be ,E: 75, F : 43, G : ef , codes_A :  74 
A : 65, B : 35, C: 0f, D : 8c ,E: 35, F : f8, G : 84 , codes_A :  57 
A : 34, B : 32, C: 1b, D : c2 ,E: 27, F : f8, G : f1 , codes_A :  63 
A : 5d, B : 21, C: e7, D : de ,E: 3f, F : cd, G : 88 , codes_A :  56 
A : 35, B : 25, C: 02, D : c4 ,E: 01, F : 01, G : c6 , codes_A :   6 
A : 74, B : 11, C: fb, D : ac ,E: fd, F : e0, G : c6 , codes_A : 118 
A : 4f, B : 41, C: 18, D : 14 ,E: 67, F : c6, G : a9 , codes_A :  95 
A : 40, B : 38, C: 2c, D : 18 ,E: 61, F : 5c, G : af , codes_A :  72 
A : 24, B : 11, C: c3, D : c0 ,E: 5e, F : 50, G : c0 , codes_A :  68 
A : 41, B : 31, C: b5, D : 96 ,E: 21, F : 19, G : c9 , codes_A :  13 
A : 28, B : 07, C: ef, D : 92 ,E: 78, F : 73, G : 61 , codes_A :  89 
A : cd, B : 9d, C: 8d, D : 84 ,E: 6b, F : 4d, G : 99 , codes_A :  71 
A : 5c, B : df, C: b9, D : a2 ,E: 71, F : df, G : ac , codes_A :  95 
A : 5e, B : 13, C: 0a, D : a2 ,E: 7a, F : b7, G : a5 , codes_A :  94 
A : 6f, B : 4b, C: d5, D : ca ,E: 46, F : 33, G : 9f , codes_A :  45 
A : 4f, B : 03, C: fb, D : b6 ,E: 76, F : 06, G : 9e , codes_A :  22 
A : 64, B : 4e, C: f7, D : d2 ,E: 75, F : 43, G : aa , codes_A :  72 
A : 65, B : 55, C: 35, D : 9c ,E: 52, F : 35, G : f8 , codes_A :  48 
A : 5e, B : 5d, C: 52, D : 34 ,E: f8, F : f1, G : de , codes_A : 118 
A : 5d, B : 45, C: 21, D : de ,E: 3f, F : ea, G : 88 , codes_A :  57 
A : 25, B : 02, C: c4, D : 9c ,E: 32, F : 01, G : c6 , codes_A :  13 
A : 77, B : 74, C: fb, D : 9e ,E: 6f, F : fd, G : e0 , codes_A :  99 
A : 56, B : 4f, C: 41, D : 3c ,E: 67, F : c6, G : ac , codes_A :  95 
A : 38, B : 2c, C: 21, D : 18 ,E: 5c, F : c1, G : af , codes_A :  80 
A : f6, B : c3, C: c1, D : a0 ,E: 50, F : 17, G : c0 , codes_A :  19 
A : 41, B : 31, C: 1d, D : bc ,E: 39, F : 19, G : c9 , codes_A :  13 
A : 5b, B : 4c, C: 28, D : 92 ,E: 78, F : 73, G : 9e , codes_A :  86 
A : d2, B : cd, C: 9d, D : 8c ,E: 6b, F : 99, G : 86 , codes_A :  90 
A : 5b, B : ea, C: b9, D : a2 ,E: 71, F : df, G : a7 , codes_A :  95 
A : 40, B : 0a, C: df, D : a2 ,E: 7a, F : 2a, G : a5 , codes_A :  51 
A : f6, B : d5, C: cb, D : ac ,E: 33, F : 1b, G : 9f , codes_A :  11 
A : 60, B : 4f, C: 0a, D : 02 ,E: 76, F : 4c, G : 06 , codes_A :  16 
A : 69, B : 64, C: 4e, D : 2c ,E: 43, F : 29, G : aa , codes_A :  46 
A : 55, B : 46, C: 35, D : 0e ,E: 52, F : 35, G : 34 , codes_A :  37 
A : 5d, B : 52, C: 3b, D : 34 ,E: 43, F : f8, G : de , codes_A :  83 
A : 5d, B : 45, C: 24, D : de ,E: 3f, F : ea, G : 87 , codes_A :  57 
A : 3d, B : 37, C: 02, D : 9c ,E: 32, F : c6, G : b1 , codes_A :  59 
A : 77, B : 74, C: 6f, D : 02 ,E: 6f, F : fd, G : e7 , codes_A :  99 
A : 52, B : 4f, C: 3d, D : 18 ,E: 67, F : 62, G : 4c , codes_A :  72 
A : 31, B : 21, C: 18, D : fa ,E: 0e, F : c1, G : af , codes_A :  31 
A : f6, B : e3, C: a0, D : 8a ,E: 61, F : 17, G : c0 , codes_A :  24 
A : 57, B : 49, C: 1d, D : bc ,E: 3e, F : 39, G : c9 , codes_A :  41 
A : 5b, B : 4c, C: aa, D : 96 ,E: 7b, F : 78, G : 9e , codes_A :  86 
A : 0f, B : 02, C: d2, D : cc ,E: f3, F : 99, G : 86 , codes_A : 103 
A : 5b, B : 17, C: ea, D : b8 ,E: 74, F : 71, G : a7 , codes_A :  87 
A : 0a, B : e6, C: df, D : d4 ,E: 7a, F : 46, G : 2a , codes_A :  44 
A : 65, B : 54, C: 45, D : f6 ,E: 1b, F : 07, G : 9f , codes_A :   4 
A : 0a, B : 03, C: fb, D : dc ,E: 69, F : 4c, G : 06 , codes_A :  16 
A : 69, B : 4e, C: 4d, D : 2c ,E: 29, F : b2, G : aa , codes_A :  58 
A : 46, B : 40, C: 0e, D : ec ,E: 52, F : 34, G : ec , codes_A :  48 
A : 5d, B : 10, C: db, D : 9c ,E: 43, F : e3, G : de , codes_A :  83 
A : 46, B : 45, C: 24, D : 18 ,E: 38, F : ea, G : 87 , codes_A :  57 
A : 6b, B : 3d, C: 37, D : 9c ,E: 33, F : 32, G : b1 , codes_A :  40 
A : 6f, B : 03, C: db, D : 9e ,E: 6f, F : 56, G : e7 , codes_A :  74 
A : 56, B : 52, C: 52, D : 3c ,E: 42, F : b6, G : ac , codes_A :  79 
A : 28, B : 21, C: fa, D : c8 ,E: 0e, F : c1, G : b1 , codes_A :  31 
A : f6, B : e3, C: a1, D : a0 ,E: 61, F : 17, G : 99 , codes_A :  22 
A : 49, B : 1d, C: 11, D : bc ,E: 3e, F : 39, G : eb , codes_A :  42 
A : 5b, B : 08, C: f4, D : aa ,E: 7b, F : 9e, G : 9e , codes_A :  90 
A : 0f, B : 02, C: f2, D : d2 ,E: 19, F : f3, G : 86 , codes_A :  29 
A : 20, B : 17, C: ea, D : d6 ,E: 74, F : bd, G : a7 , codes_A :  94 
A : 40, B : 12, C: e6, D : de ,E: 46, F : 2a, G : 9f , codes_A :  45 
A : 45, B : 29, C: f6, D : c8 ,E: 1b, F : 07, G : bc , codes_A :   5 
A : 14, B : 0a, C: dd, D : c8 ,E: 7e, F : 69, G : 4c , codes_A :  70 
A : 58, B : 4d, C: 2d, D : 1a ,E: 29, F : b2, G : 8a , codes_A :  55 
A : 46, B : 40, C: 0e, D : ec ,E: 34, F : ec, G : 8c , codes_A :  57 
A : 10, B : f5, C: db, D : 9c ,E: 43, F : e3, G : d4 , codes_A :  83 
A : 46, B : 24, C: 19, D : f0 ,E: 60, F : 38, G : 87 , codes_A :  50 
A : 6b, B : 40, C: 3d, D : 36 ,E: 33, F : b1, G : b0 , codes_A :  58 
A : 6f, B : 03, C: f6, D : da ,E: 56, F : 36, G : e7 , codes_A :  48 
A : 52, B : 47, C: 2a, D : 12 ,E: 42, F : e3, G : b6 , codes_A :  81 
A : 28, B : fa, C: ce, D : c4 ,E: 0e, F : b1, G : a7 , codes_A :  30 
A : 22, B : e3, C: af, D : a0 ,E: 61, F : 22, G : 99 , codes_A :  50 
A : 49, B : 11, C: e6, D : 9c ,E: 3e, F : eb, G : dd , codes_A :  62 
A : 08, B : f4, C: f0, D : aa ,E: 7b, F : 65, G : 9e , codes_A :  86 
A : 02, B : f2, C: c6, D : be ,E: 19, F : f3, G : d4 , codes_A :  34 
A : 20, B : 17, C: d6, D : 9a ,E: 74, F : 74, G : bd , codes_A :  87 
A : 62, B : 46, C: 12, D : e6 ,E: 60, F : 46, G : 9f , codes_A :  71 
A : 45, B : 29, C: c8, D : ae ,E: 12, F : 07, G : bc , codes_A :   5 
A : 14, B : 05, C: dd, D : c8 ,E: 7e, F : 69, G : be , codes_A :  87 
A : 58, B : 4d, C: 1a, D : 14 ,E: 59, F : b2, G : 8a , codes_A :  76 
A : 6a, B : 40, C: 12, D : ec ,E: ec, F : b1, G : 8c , codes_A : 106 
A : 66, B : 3c, C: 10, D : f4 ,E: 55, F : e3, G : d4 , codes_A :  83 
A : 51, B : 46, C: 19, D : f0 ,E: 60, F : 38, G : 88 , codes_A :  50 
A : 6b, B : 40, C: 24, D : f8 ,E: 33, F : d9, G : b0 , codes_A :  59 
A : 4b, B : 47, C: f6, D : da ,E: 56, F : 36, G : d5 , codes_A :  47 
A : 47, B : 2a, C: 12, D : e6 ,E: 77, F : e3, G : b6 , codes_A :  96 
A : 28, B : d8, C: ce, D : c4 ,E: 1a, F : b1, G : a7 , codes_A :  30 
A : 22, B : 1d, C: 08, D : ae ,E: 22, F : 9d, G : 99 , codes_A :  54 
A : 00, B : 00, C: 00, D : 00 ,E: 16, F : 16, G : 15 , codes_A :  47 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 , codes_A :  96 
A : 00, B : 00, C: 00, D : 00 ,E: 1a, F : 11, G : 07 , codes_A :  30 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 , codes_A :  54 
A : 41, B : 21, C: 19, D : 0c ,E: 42, F : da, G : 91 , codes_A :  77 
A : 73, B : 61, C: ef, D : be ,E: 74, F : 71, G : 1d , codes_A :  25 
A : 6b, B : 66, C: 4d, D : 84 ,E: 54, F : fd, G : f9 , codes_A :  84 
A : df, B : d9, C: ce, D : ac ,E: d9, F : d0, G : b5 , codes_A : 113 
A : 13, B : c4, C: b7, D : a4 ,E: 35, F : 32, G : a7 , codes_A :  40 
A : 46, B : 42, C: 33, D : d4 ,E: 00, F : 00, G : 00 , codes_A : 105 
A : 76, B : 60, C: 49, D : b6 ,E: 46, F : 14, G : 10 , codes_A :   2 
A : 64, B : 61, C: 43, D : f6 ,E: 26, F : c1, G : 96 , codes_A :  56 
A : 35, B : f8, C: 8c, D : 84 ,E: 60, F : 38, G : f2 , codes_A :  53 
A : 27, B : 1b, C: f8, D : f0 ,E: 71, F : 16, G : 94 , codes_A :  22 
A : e7, B : df, C: de, D : cc ,E: 6e, F : 1f, G : c1 , codes_A :  24 
A : 02, B : 01, C: 01, D : c6 ,E: 98, F : 90, G : 8d , codes_A : 100 
A : 11, B : fd, C: e0, D : c6 ,E: 52, F : 1d, G : d9 , codes_A :  19 
A : 41, B : 18, C: 15, D : c6 ,E: 6f, F : 68, G : 65 , codes_A :  89 
A : 60, B : 5c, C: 40, D : 38 ,E: 3a, F : 38, G : e7 , codes_A :  42 
A : 54, B : 50, C: 11, D : c0 ,E: fd, F : bd, G : 8c , codes_A : 106 
A : 41, B : 21, C: 19, D : c8 ,E: 4f, F : 42, G : 91 , codes_A :  66 
A : 73, B : 61, C: 4c, D : ee ,E: 74, F : fd, G : dd , codes_A :  98 
A : 4d, B : cd, C: 99, D : 84 ,E: 7a, F : 54, G : f9 , codes_A :  74 
A : 5c, B : df, C: df, D : ac ,E: d9, F : d2, G : d0 , codes_A : 116 
A : 5e, B : 13, C: b7, D : a4 ,E: 59, F : 35, G : a7 , codes_A :  46 
A : 6f, B : 46, C: 33, D : d4 ,E: 1f, F : c6, G : 9c , codes_A :  28 
A : 60, B : 06, C: 03, D : b6 ,E: 46, F : 14, G : 8c , codes_A :  17 
A : 64, B : 4e, C: 43, D : f6 ,E: c1, F : b2, G : 96 , codes_A : 105 
A : 52, B : 35, C: 35, D : f8 ,E: 60, F : 5d, G : f2 , codes_A :  74 
A : 32, B : f8, C: f1, D : de ,E: 71, F : e9, G : 94 , codes_A :  93 
A : 3f, B : ea, C: df, D : de ,E: 6e, F : 5a, G : c1 , codes_A :  73 
A : 25, B : 02, C: 01, D : c6 ,E: 25, F : 90, G : 8d , codes_A :  54 
A : 77, B : 6f, C: fd, D : e0 ,E: 6a, F : 52, G : d9 , codes_A :  73 
A : 56, B : 41, C: 18, D : c6 ,E: 68, F : 3a, G : e5 , codes_A :  53 
A : 40, B : 38, C: 21, D : c0 ,E: 3a, F : 38, G : 16 , codes_A :   8 
A : 50, B : 17, C: f6, D : c0 ,E: fd, F : fc, G : bd , codes_A : 115 
A : 41, B : 39, C: 19, D : c8 ,E: 4f, F : 3d, G : 91 , codes_A :  45 
A : 73, B : 6b, C: 4c, D : 9e ,E: 74, F : 66, G : 1d , codes_A :  24 
A : 0f, B : cd, C: 99, D : 86 ,E: 7a, F : 54, G : 13 , codes_A :  16 
A : 5c, B : 5b, C: df, D : a6 ,E: 2c, F : d9, G : d2 , codes_A :  61 
A : 5e, B : 2a, C: df, D : a4 ,E: 59, F : 35, G : 92 , codes_A :  45 
A : 33, B : 1b, C: d5, D : a4 ,E: 1f, F : 1f, G : 1c , codes_A :   4 
A : 60, B : 4c, C: 0a, D : 06 ,E: 46, F : ea, G : 8c , codes_A :  78 
A : 64, B : 4e, C: 43, D : 28 ,E: 27, F : c1, G : b2 , codes_A :  59 
A : 52, B : 46, C: 35, D : 34 ,E: 60, F : 5d, G : 27 , codes_A :  44 
A : 43, B : 32, C: f8, D : de ,E: e9, F : 9e, G : 94 , codes_A : 103 
A : 3f, B : ea, C: df, D : 88 ,E: 6e, F : 5a, G : b1 , codes_A :  72 
A : 32, B : 02, C: c6, D : b0 ,E: 41, F : 25, G : 90 , codes_A :  45 
A : 77, B : 6f, C: 6f, D : fc ,E: 7e, F : 6a, G : 52 , codes_A :  70 
A : 62, B : 56, C: 4c, D : 18 ,E: 64, F : 3a, G : e5 , codes_A :  53 
A : 31, B : 21, C: 0e, D : c0 ,E: 38, F : 16, G : d7 , codes_A :  13 
A : 54, B : 17, C: f6, D : e2 ,E: 11, F : fd, G : fc , codes_A :  35 
A : 57, B : 3e, C: 39, D : c8 ,E: 4f, F : 3d, G : 1a , codes_A :   9 
A : 78, B : 6b, C: 4c, D : aa ,E: 06, F : dd, G : 94 , codes_A :  28 
A : 02, B : f3, C: cd, D : 98 ,E: 7a, F : 52, G : 13 , codes_A :  16 
A : 71, B : 5c, C: 5b, D : 16 ,E: 2c, F : dc, G : d2 , codes_A :  61 
A : 46, B : 2a, C: e6, D : de ,E: 59, F : b3, G : 92 , codes_A :  76 
A : 45, B : 1b, C: 07, D : a4 ,E: 30, F : 1f, G : 1f , codes_A :   1 
A : 4c, B : 0a, C: 06, D : 02 ,E: ea, F : e9, G : 8c , codes_A : 109 
A : 4e, B : 29, C: 1a, D : b2 ,E: 27, F : b2, G : ab , codes_A :  58 
A : 52, B : 46, C: 34, D : ec ,E: 5d, F : 27, G : 1d , codes_A :   9 
A : 43, B : e3, C: de, D : da ,E: 08, F : e9, G : 9e , codes_A :  29 
A : 45, B : 38, C: ea, D : 88 ,E: 5a, F : 58, G : b1 , codes_A :  67 
A : 3d, B : 33, C: 32, D : b0 ,E: 51, F : 41, G : 25 , codes_A :  43 
A : 6f, B : 6f, C: 56, D : e6 ,E: 7e, F : 6a, G : f5 , codes_A :  89 
A : 42, B : 12, C: b6, D : ac ,E: 64, F : 3a, G : e2 , codes_A :  53 
A : 21, B : 0e, C: c1, D : b0 ,E: 16, F : d7, G : cb , codes_A :  33 
A : 57, B : 17, C: f6, D : e2 ,E: 11, F : fc, G : 88 , codes_A :  29 
A : 3e, B : 39, C: 11, D : ea ,E: 3d, F : 1a, G : c3 , codes_A :  13 
A : 6b, B : f4, C: aa, D : 9e ,E: 16, F : 06, G : 94 , codes_A :   4 
A : 0f, B : 02, C: f3, D : c6 ,E: 52, F : 13, G : 81 , codes_A :  17 
A : 5b, B : 20, C: 17, D : bc ,E: 2c, F : dc, G : a8 , codes_A :  59 
A : 46, B : 2a, C: e6, D : de ,E: 7b, F : b3, G : 92 , codes_A :  91 
A : 29, B : 1b, C: 07, D : bc ,E: 30, F : 1f, G : dd , codes_A :  13 
A : 69, B : 4c, C: 0a, D : c8 ,E: ea, F : e9, G : 8a , codes_A : 109 
A : 58, B : 29, C: 1a, D : b2 ,E: 27, F : 20, G : ab , codes_A :  40 
A : 46, B : 34, C: ec, D : ec ,E: 27, F : 1d, G : b6 , codes_A :  12 
A : 43, B : e3, C: db, D : d4 ,E: 08, F : 9e, G : 81 , codes_A :  26 
A : 46, B : 38, C: f0, D : 88 ,E: 58, F : eb, G : b1 , codes_A :  81 
A : 3d, B : 33, C: 24, D : b0 ,E: 51, F : 41, G : 34 , codes_A :  43 
A : 6f, B : 56, C: 36, D : e6 ,E: 7e, F : 51, G : f5 , codes_A :  74 
A : 2a, B : 12, C: e3, D : b6 ,E: 6f, F : 64, G : 62 , codes_A :  89 
A : 0e, B : ce, C: b1, D : a6 ,E: 79, F : d7, G : cb , codes_A :  97 
A : 57, B : 22, C: e3, D : ae ,E: 77, F : 11, G : 88 , codes_A :  22 
A : 3e, B : 11, C: eb, D : dc ,E: 1a, F : ff, G : c3 , codes_A :  34 
A : 65, B : 5f, C: f4, D : aa ,E: 16, F : ce, G : 94 , codes_A :  28 
A : 02, B : f3, C: d4, D : c6 ,E: 52, F : 8b, G : 81 , codes_A :  75 
A : 74, B : 20, C: 17, D : bc ,E: dc, F : c8, G : a8 , codes_A : 113 
A : 62, B : 60, C: 46, D : e6 ,E: 7b, F : f2, G : b3 , codes_A :  96 
A : 29, B : 12, C: 07, D : bc ,E: 30, F : dd, G : 8a , codes_A :  56 
A : 69, B : 05, C: c8, D : be ,E: 43, F : e9, G : 8a , codes_A :  78 
A : 59, B : 58, C: 1a, D : b2 ,E: 20, F : dd, G : ab , codes_A :  59 
A : 6a, B : ec, C: ec, D : b0 ,E: 41, F : 1d, G : b6 , codes_A :  18 
A : 55, B : 26, C: e3, D : d4 ,E: 12, F : 08, G : 01 , codes_A :   4 
A : 51, B : 46, C: 38, D : f0 ,E: 58, F : eb, G : d6 , codes_A :  83 
A : 33, B : 24, C: f9, D : d8 ,E: 51, F : 4f, G : 34 , codes_A :  43 
A : 56, B : 47, C: 36, D : d4 ,E: 51, F : f5, G : 90 , codes_A :  78 
A : 2a, B : 12, C: e7, D : e2 ,E: 6f, F : 6d, G : 62 , codes_A :  89 
A : 1a, B : ce, C: b1, D : a6 ,E: 79, F : 57, G : cb , codes_A :  73 
A : 22, B : 08, C: af, D : 9c ,E: 77, F : 71, G : 88 , codes_A :  86 
A : 00, B : 00, C: 00, D : 00 ,E: 00, F : 00, G : 00 , codes_A :  78 
A : 00, B : 00, C: 00, D : 00 ,E: 0f, F : 0d, G : 02 , codes_A :  89 
A : 00, B : 00, C: 00, D : 00 ,E: 19, F : 17, G : 0b , codes_A :  73 
A : 00, B : 00, C: 00, D : 00 ,E: 17, F : 11, G : 08 , codes_A :  86 
A : 42, B : 21, C: 19, D : da ,E: 6d, F : e8, G : 99 , codes_A :  93 
A : 74, B : 73, C: 71, D : 1c ,E: 39, F : e9, G : d9 , codes_A :  62 
A : 6b, B : 54, C: 4d, D : fc ,E: 49, F : 40, G : 8a , codes_A :  66 
A : d9, B : d9, C: d0, D : b4 ,E: 7d, F : 44, G : c5 , codes_A :  73 
A : 32, B : b7, C: a7, D : a4 ,E: 4e, F : ec, G : bc , codes_A :  81 
A : 33, B : 00, C: 00, D : 00 ,E: 4e, F : fe, G : f0 , codes_A :  84 
A : 76, B : 46, C: 14, D : 10 ,E: 01, F : cf, G : ab , codes_A :  31 
